file	accession	organism	n_contigs	total_len	domain	mag	n50	Completeness	Contamination
GCA_041397085.1_ASM4139708v1_genomic.fna	GCA_041397085.1	Paracoccaceae bacterium (a-proteobacteria)	3	3676308	Bacteria	GCA_041397085.1_ASM4139708v1_genomic	1268131	100.0	0.25
GCA_041397105.1_ASM4139710v1_genomic.fna	GCA_041397105.1	Paracoccaceae bacterium (a-proteobacteria)	14	3628413	Bacteria	GCA_041397105.1_ASM4139710v1_genomic	898306	95.37	0.65
GCA_041397125.1_ASM4139712v1_genomic.fna	GCA_041397125.1	Paracoccaceae bacterium (a-proteobacteria)	22	3451387	Bacteria	GCA_041397125.1_ASM4139712v1_genomic	327215	95.82	0.55
GCA_041397145.1_ASM4139714v1_genomic.fna	GCA_041397145.1	Paracoccaceae bacterium (a-proteobacteria)	25	3173442	Bacteria	GCA_041397145.1_ASM4139714v1_genomic	489264	96.92	0.04
GCA_041397165.1_ASM4139716v1_genomic.fna	GCA_041397165.1	Paracoccaceae bacterium (a-proteobacteria)	78	3433799	Bacteria	GCA_041397165.1_ASM4139716v1_genomic	88069	65.82	0.29
GCA_041397185.1_ASM4139718v1_genomic.fna	GCA_041397185.1	Paracoccaceae bacterium (a-proteobacteria)	62	3492967	Bacteria	GCA_041397185.1_ASM4139718v1_genomic	144728	55.74	1.85
GCA_041397205.1_ASM4139720v1_genomic.fna	GCA_041397205.1	Paracoccaceae bacterium (a-proteobacteria)	79	4288498	Bacteria	GCA_041397205.1_ASM4139720v1_genomic	165247	69.98	0.81
GCA_041397225.1_ASM4139722v1_genomic.fna	GCA_041397225.1	Paracoccaceae bacterium (a-proteobacteria)	3	3436081	Bacteria	GCA_041397225.1_ASM4139722v1_genomic	1848211	91.7	0.05
GCA_041397245.1_ASM4139724v1_genomic.fna	GCA_041397245.1	Albidovulum denitrificans (a-proteobacteria)	43	3486116	Bacteria	GCA_041397245.1_ASM4139724v1_genomic	196571	86.41	2.95
GCA_041397265.1_ASM4139726v1_genomic.fna	GCA_041397265.1	Albidovulum sp. (a-proteobacteria)	7	3230164	Bacteria	GCA_041397265.1_ASM4139726v1_genomic	518320	96.24	0.41
GCA_041397285.1_ASM4139728v1_genomic.fna	GCA_041397285.1	Albidovulum denitrificans (a-proteobacteria)	73	3155775	Bacteria	GCA_041397285.1_ASM4139728v1_genomic	94614	81.19	4.06
GCA_041397305.1_ASM4139730v1_genomic.fna	GCA_041397305.1	Paracoccaceae bacterium (a-proteobacteria)	47	3550709	Bacteria	GCA_041397305.1_ASM4139730v1_genomic	170920	99.9	0.49
GCA_041397325.1_ASM4139732v1_genomic.fna	GCA_041397325.1	Paracoccaceae bacterium (a-proteobacteria)	50	3171099	Bacteria	GCA_041397325.1_ASM4139732v1_genomic	162447	90.31	3.33
GCA_041397345.1_ASM4139734v1_genomic.fna	GCA_041397345.1	Paracoccaceae bacterium (a-proteobacteria)	29	3448398	Bacteria	GCA_041397345.1_ASM4139734v1_genomic	263932	79.26	1.83
GCA_041397365.1_ASM4139736v1_genomic.fna	GCA_041397365.1	Xanthobacteraceae bacterium (a-proteobacteria)	43	3850410	Bacteria	GCA_041397365.1_ASM4139736v1_genomic	319180	90.65	2.26
GCA_041397385.1_ASM4139738v1_genomic.fna	GCA_041397385.1	Paracoccaceae bacterium (a-proteobacteria)	38	3497642	Bacteria	GCA_041397385.1_ASM4139738v1_genomic	329591	85.31	1.92
GCA_041397405.1_ASM4139740v1_genomic.fna	GCA_041397405.1	Xanthobacteraceae bacterium (a-proteobacteria)	30	4164698	Bacteria	GCA_041397405.1_ASM4139740v1_genomic	350928	91.14	0.45
GCA_041397425.1_ASM4139742v1_genomic.fna	GCA_041397425.1	Tepidamorphaceae bacterium (a-proteobacteria)	37	2949421	Bacteria	GCA_041397425.1_ASM4139742v1_genomic	129666	71.18	0.34
GCA_041397445.1_ASM4139744v1_genomic.fna	GCA_041397445.1	Xanthobacteraceae bacterium (a-proteobacteria)	50	3163827	Bacteria	GCA_041397445.1_ASM4139744v1_genomic	146479	71.78	4.02
GCA_041397465.1_ASM4139746v1_genomic.fna	GCA_041397465.1	Xanthobacteraceae bacterium (a-proteobacteria)	127	4930025	Bacteria	GCA_041397465.1_ASM4139746v1_genomic	77430	93.19	8.03
GCA_041397485.1_ASM4139748v1_genomic.fna	GCA_041397485.1	Zhengella sp. (a-proteobacteria)	7	3994334	Bacteria	GCA_041397485.1_ASM4139748v1_genomic	758273	94.4	0.0
GCA_041397505.1_ASM4139750v1_genomic.fna	GCA_041397505.1	Nitratireductor sp. (a-proteobacteria)	83	2699588	Bacteria	GCA_041397505.1_ASM4139750v1_genomic	52437	65.3	1.55
GCA_041397525.1_ASM4139752v1_genomic.fna	GCA_041397525.1	Nitratireductor sp. (a-proteobacteria)	9	3322623	Bacteria	GCA_041397525.1_ASM4139752v1_genomic	585040	100.0	0.56
GCA_041397545.1_ASM4139754v1_genomic.fna	GCA_041397545.1	Nitratireductor sp. (a-proteobacteria)	109	3863589	Bacteria	GCA_041397545.1_ASM4139754v1_genomic	80814	94.8	4.01
GCA_041397565.1_ASM4139756v1_genomic.fna	GCA_041397565.1	Rhizobiaceae bacterium (a-proteobacteria)	47	4492254	Bacteria	GCA_041397565.1_ASM4139756v1_genomic	224810	89.46	0.5
GCA_041397585.1_ASM4139758v1_genomic.fna	GCA_041397585.1	Nitratireductor sp. (a-proteobacteria)	6	3439675	Bacteria	GCA_041397585.1_ASM4139758v1_genomic	632922	95.92	0.11
GCA_041397605.1_ASM4139760v1_genomic.fna	GCA_041397605.1	Rhizobiaceae bacterium (a-proteobacteria)	35	5182340	Bacteria	GCA_041397605.1_ASM4139760v1_genomic	2885117	100.0	2.75
GCA_041397625.1_ASM4139762v1_genomic.fna	GCA_041397625.1	Rhizobiaceae bacterium (a-proteobacteria)	9	3508956	Bacteria	GCA_041397625.1_ASM4139762v1_genomic	712083	97.66	0.47
GCA_041397645.1_ASM4139764v1_genomic.fna	GCA_041397645.1	Hyphomicrobiaceae bacterium (a-proteobacteria)	12	4237847	Bacteria	GCA_041397645.1_ASM4139764v1_genomic	2972299	99.92	0.01
GCA_041397665.1_ASM4139766v1_genomic.fna	GCA_041397665.1	Hyphomicrobiales bacterium (a-proteobacteria)	64	3058807	Bacteria	GCA_041397665.1_ASM4139766v1_genomic	103452	85.1	1.86
GCA_041397675.1_ASM4139767v1_genomic.fna	GCA_041397675.1	Hyphomicrobiales bacterium (a-proteobacteria)	59	2748565	Bacteria	GCA_041397675.1_ASM4139767v1_genomic	86013	79.41	1.35
GCA_041397705.1_ASM4139770v1_genomic.fna	GCA_041397705.1	Hyphomicrobiaceae bacterium (a-proteobacteria)	51	4756154	Bacteria	GCA_041397705.1_ASM4139770v1_genomic	215798	76.47	1.19
GCA_041397725.1_ASM4139772v1_genomic.fna	GCA_041397725.1	Hyphomicrobiaceae bacterium (a-proteobacteria)	16	4067918	Bacteria	GCA_041397725.1_ASM4139772v1_genomic	461990	94.41	1.97
GCA_041397745.1_ASM4139774v1_genomic.fna	GCA_041397745.1	Hyphomicrobiaceae bacterium (a-proteobacteria)	25	3428760	Bacteria	GCA_041397745.1_ASM4139774v1_genomic	465549	73.66	0.08
GCA_041397765.1_ASM4139776v1_genomic.fna	GCA_041397765.1	Hyphomicrobiaceae bacterium (a-proteobacteria)	73	4276855	Bacteria	GCA_041397765.1_ASM4139776v1_genomic	191313	95.69	1.01
GCA_041397775.1_ASM4139777v1_genomic.fna	GCA_041397775.1	Hyphomicrobiaceae bacterium (a-proteobacteria)	17	4718070	Bacteria	GCA_041397775.1_ASM4139777v1_genomic	538993	97.18	0.11
GCA_041397805.1_ASM4139780v1_genomic.fna	GCA_041397805.1	Hyphomicrobiaceae bacterium (a-proteobacteria)	44	4218988	Bacteria	GCA_041397805.1_ASM4139780v1_genomic	193237	74.81	1.23
GCA_041397825.1_ASM4139782v1_genomic.fna	GCA_041397825.1	Hyphomicrobiaceae bacterium (a-proteobacteria)	11	4588018	Bacteria	GCA_041397825.1_ASM4139782v1_genomic	826090	99.87	0.66
GCA_041397845.1_ASM4139784v1_genomic.fna	GCA_041397845.1	Hyphomicrobiales bacterium (a-proteobacteria)	78	3460908	Bacteria	GCA_041397845.1_ASM4139784v1_genomic	121852	91.75	2.28
GCA_041397865.1_ASM4139786v1_genomic.fna	GCA_041397865.1	Alphaproteobacteria bacterium (a-proteobacteria)	4	2404292	Bacteria	GCA_041397865.1_ASM4139786v1_genomic	1545054	99.83	0.0
GCA_041397885.1_ASM4139788v1_genomic.fna	GCA_041397885.1	Alphaproteobacteria bacterium (a-proteobacteria)	9	1901300	Bacteria	GCA_041397885.1_ASM4139788v1_genomic	424033	99.98	0.45
GCA_041397905.1_ASM4139790v1_genomic.fna	GCA_041397905.1	Geminicoccaceae bacterium (a-proteobacteria)	165	4353823	Bacteria	GCA_041397905.1_ASM4139790v1_genomic	49102	68.85	5.38
GCA_041397925.1_ASM4139792v1_genomic.fna	GCA_041397925.1	Alphaproteobacteria bacterium (a-proteobacteria)	36	1238801	Bacteria	GCA_041397925.1_ASM4139792v1_genomic	44211	53.09	0.73
GCA_041397945.1_ASM4139794v1_genomic.fna	GCA_041397945.1	Geminicoccaceae bacterium (a-proteobacteria)	111	3529205	Bacteria	GCA_041397945.1_ASM4139794v1_genomic	60324	57.47	1.12
GCA_041397965.1_ASM4139796v1_genomic.fna	GCA_041397965.1	Geminicoccaceae bacterium (a-proteobacteria)	209	5259586	Bacteria	GCA_041397965.1_ASM4139796v1_genomic	69193	96.38	6.23
GCA_041397985.1_ASM4139798v1_genomic.fna	GCA_041397985.1	Geminicoccaceae bacterium (a-proteobacteria)	68	5049594	Bacteria	GCA_041397985.1_ASM4139798v1_genomic	151805	99.28	4.77
GCA_041398005.1_ASM4139800v1_genomic.fna	GCA_041398005.1	Geminicoccaceae bacterium (a-proteobacteria)	30	4275610	Bacteria	GCA_041398005.1_ASM4139800v1_genomic	367853	94.99	1.59
GCA_041398025.1_ASM4139802v1_genomic.fna	GCA_041398025.1	Alphaproteobacteria bacterium (a-proteobacteria)	81	6947703	Bacteria	GCA_041398025.1_ASM4139802v1_genomic	152410	92.55	1.57
GCA_041398035.1_ASM4139803v1_genomic.fna	GCA_041398035.1	Geminicoccaceae bacterium (a-proteobacteria)	101	3747853	Bacteria	GCA_041398035.1_ASM4139803v1_genomic	66942	53.08	0.53
GCA_041398065.1_ASM4139806v1_genomic.fna	GCA_041398065.1	Dongiaceae bacterium (a-proteobacteria)	112	4726391	Bacteria	GCA_041398065.1_ASM4139806v1_genomic	71341	65.86	1.01
GCA_041398085.1_ASM4139808v1_genomic.fna	GCA_041398085.1	Parvularculaceae bacterium (a-proteobacteria)	86	3022086	Bacteria	GCA_041398085.1_ASM4139808v1_genomic	67345	79.55	3.49
GCA_041398105.1_ASM4139810v1_genomic.fna	GCA_041398105.1	Parvularculaceae bacterium (a-proteobacteria)	97	3142881	Bacteria	GCA_041398105.1_ASM4139810v1_genomic	71992	87.12	6.52
GCA_041398125.1_ASM4139812v1_genomic.fna	GCA_041398125.1	Parvularculaceae bacterium (a-proteobacteria)	50	2254314	Bacteria	GCA_041398125.1_ASM4139812v1_genomic	95393	62.95	0.68
GCA_041398145.1_ASM4139814v1_genomic.fna	GCA_041398145.1	Parvularculaceae bacterium (a-proteobacteria)	18	3371551	Bacteria	GCA_041398145.1_ASM4139814v1_genomic	427064	96.42	0.21
GCA_041398165.1_ASM4139816v1_genomic.fna	GCA_041398165.1	Parvularculaceae bacterium (a-proteobacteria)	50	1860413	Bacteria	GCA_041398165.1_ASM4139816v1_genomic	73850	55.19	1.78
GCA_041398185.1_ASM4139818v1_genomic.fna	GCA_041398185.1	Parvularculaceae bacterium (a-proteobacteria)	64	3588849	Bacteria	GCA_041398185.1_ASM4139818v1_genomic	110151	87.71	0.71
GCA_041398205.1_ASM4139820v1_genomic.fna	GCA_041398205.1	Parvularculaceae bacterium (a-proteobacteria)	61	3807739	Bacteria	GCA_041398205.1_ASM4139820v1_genomic	121736	93.37	2.45
GCA_041398225.1_ASM4139822v1_genomic.fna	GCA_041398225.1	Hyphomonadaceae bacterium (a-proteobacteria)	62	3387289	Bacteria	GCA_041398225.1_ASM4139822v1_genomic	115663	83.68	0.66
GCA_041398245.1_ASM4139824v1_genomic.fna	GCA_041398245.1	Hyphomonadaceae bacterium (a-proteobacteria)	29	3366740	Bacteria	GCA_041398245.1_ASM4139824v1_genomic	182076	81.64	1.73
GCA_041398265.1_ASM4139826v1_genomic.fna	GCA_041398265.1	Hyphomonadaceae bacterium (a-proteobacteria)	29	2989507	Bacteria	GCA_041398265.1_ASM4139826v1_genomic	173661	80.5	1.44
GCA_041398285.1_ASM4139828v1_genomic.fna	GCA_041398285.1	Hyphomonadaceae bacterium (a-proteobacteria)	82	2198807	Bacteria	GCA_041398285.1_ASM4139828v1_genomic	58230	50.0	2.28
GCA_041398305.1_ASM4139830v1_genomic.fna	GCA_041398305.1	Hyphomonadaceae bacterium (a-proteobacteria)	41	3247647	Bacteria	GCA_041398305.1_ASM4139830v1_genomic	154647	82.72	0.95
GCA_041398325.1_ASM4139832v1_genomic.fna	GCA_041398325.1	Hyphomonadaceae bacterium (a-proteobacteria)	39	3102366	Bacteria	GCA_041398325.1_ASM4139832v1_genomic	165862	84.43	0.32
GCA_041398345.1_ASM4139834v1_genomic.fna	GCA_041398345.1	Hyphomonadaceae bacterium (a-proteobacteria)	30	2946161	Bacteria	GCA_041398345.1_ASM4139834v1_genomic	202930	84.6	0.7
GCA_041398365.1_ASM4139836v1_genomic.fna	GCA_041398365.1	Hyphomonas sp. (a-proteobacteria)	52	3244661	Bacteria	GCA_041398365.1_ASM4139836v1_genomic	127856	88.92	2.75
GCA_041398385.1_ASM4139838v1_genomic.fna	GCA_041398385.1	Hyphomonas sp. (a-proteobacteria)	17	3029044	Bacteria	GCA_041398385.1_ASM4139838v1_genomic	422313	87.28	0.0
GCA_041398405.1_ASM4139840v1_genomic.fna	GCA_041398405.1	Hyphomonas sp. (a-proteobacteria)	44	2007745	Bacteria	GCA_041398405.1_ASM4139840v1_genomic	75543	50.21	2.07
GCA_041398425.1_ASM4139842v1_genomic.fna	GCA_041398425.1	Hyphomonas sp. (a-proteobacteria)	63	2261536	Bacteria	GCA_041398425.1_ASM4139842v1_genomic	79841	58.11	0.35
GCA_041398445.1_ASM4139844v1_genomic.fna	GCA_041398445.1	Hyphomonas sp. (a-proteobacteria)	64	3283824	Bacteria	GCA_041398445.1_ASM4139844v1_genomic	115485	87.52	1.99
GCA_041398465.1_ASM4139846v1_genomic.fna	GCA_041398465.1	Hyphomonas sp. (a-proteobacteria)	7	3595122	Bacteria	GCA_041398465.1_ASM4139846v1_genomic	835991	100.0	0.27
GCA_041398485.1_ASM4139848v1_genomic.fna	GCA_041398485.1	Hyphomonas sp. (a-proteobacteria)	38	2784730	Bacteria	GCA_041398485.1_ASM4139848v1_genomic	139533	65.68	0.1
GCA_041398505.1_ASM4139850v1_genomic.fna	GCA_041398505.1	Planctomycetota bacterium (planctomycetes)	14	4035871	Bacteria	GCA_041398505.1_ASM4139850v1_genomic	875952	89.48	0.55
GCA_041398525.1_ASM4139852v1_genomic.fna	GCA_041398525.1	Planctomycetota bacterium (planctomycetes)	83	3576152	Bacteria	GCA_041398525.1_ASM4139852v1_genomic	75465	52.27	2.34
GCA_041398545.1_ASM4139854v1_genomic.fna	GCA_041398545.1	Planctomycetota bacterium (planctomycetes)	66	3940756	Bacteria	GCA_041398545.1_ASM4139854v1_genomic	88935	69.66	1.15
GCA_041398565.1_ASM4139856v1_genomic.fna	GCA_041398565.1	Planctomycetota bacterium (planctomycetes)	8	7359044	Bacteria	GCA_041398565.1_ASM4139856v1_genomic	1619212	94.26	3.76
GCA_041398585.1_ASM4139858v1_genomic.fna	GCA_041398585.1	Planctomycetota bacterium (planctomycetes)	42	3812972	Bacteria	GCA_041398585.1_ASM4139858v1_genomic	145699	40.54	0.28
GCA_041398605.1_ASM4139860v1_genomic.fna	GCA_041398605.1	Planctomycetota bacterium (planctomycetes)	60	6991412	Bacteria	GCA_041398605.1_ASM4139860v1_genomic	305523	89.65	0.23
GCA_041398625.1_ASM4139862v1_genomic.fna	GCA_041398625.1	Planctomycetota bacterium (planctomycetes)	91	3425864	Bacteria	GCA_041398625.1_ASM4139862v1_genomic	63787	47.93	0.58
GCA_041398635.1_ASM4139863v1_genomic.fna	GCA_041398635.1	Planctomycetota bacterium (planctomycetes)	40	4513047	Bacteria	GCA_041398635.1_ASM4139863v1_genomic	193783	93.54	0.49
GCA_041398665.1_ASM4139866v1_genomic.fna	GCA_041398665.1	Planctomycetota bacterium (planctomycetes)	97	5057124	Bacteria	GCA_041398665.1_ASM4139866v1_genomic	120075	81.31	1.03
GCA_041398685.1_ASM4139868v1_genomic.fna	GCA_041398685.1	Planctomycetota bacterium (planctomycetes)	110	5001872	Bacteria	GCA_041398685.1_ASM4139868v1_genomic	117325	90.8	4.61
GCA_041398705.1_ASM4139870v1_genomic.fna	GCA_041398705.1	Planctomycetota bacterium (planctomycetes)	19	4662353	Bacteria	GCA_041398705.1_ASM4139870v1_genomic	543408	89.54	0.38
GCA_041398725.1_ASM4139872v1_genomic.fna	GCA_041398725.1	Planctomycetaceae bacterium (planctomycetes)	35	5987086	Bacteria	GCA_041398725.1_ASM4139872v1_genomic	423315	71.31	0.97
GCA_041398745.1_ASM4139874v1_genomic.fna	GCA_041398745.1	Planctomycetaceae bacterium (planctomycetes)	19	7252736	Bacteria	GCA_041398745.1_ASM4139874v1_genomic	829141	99.99	0.22
GCA_041398765.1_ASM4139876v1_genomic.fna	GCA_041398765.1	Planctomycetaceae bacterium (planctomycetes)	76	5521031	Bacteria	GCA_041398765.1_ASM4139876v1_genomic	447671	87.77	1.5
GCA_041398785.1_ASM4139878v1_genomic.fna	GCA_041398785.1	Planctomycetaceae bacterium (planctomycetes)	73	7322031	Bacteria	GCA_041398785.1_ASM4139878v1_genomic	238052	96.84	0.78
GCA_041398805.1_ASM4139880v1_genomic.fna	GCA_041398805.1	Planctomycetaceae bacterium (planctomycetes)	42	5866296	Bacteria	GCA_041398805.1_ASM4139880v1_genomic	503603	78.97	2.46
GCA_041398825.1_ASM4139882v1_genomic.fna	GCA_041398825.1	Planctomycetaceae bacterium (planctomycetes)	33	7087165	Bacteria	GCA_041398825.1_ASM4139882v1_genomic	420822	98.77	0.15
GCA_041398845.1_ASM4139884v1_genomic.fna	GCA_041398845.1	Planctomycetaceae bacterium (planctomycetes)	27	8557773	Bacteria	GCA_041398845.1_ASM4139884v1_genomic	1689918	99.94	1.05
GCA_041398865.1_ASM4139886v1_genomic.fna	GCA_041398865.1	Planctomycetaceae bacterium (planctomycetes)	55	7494771	Bacteria	GCA_041398865.1_ASM4139886v1_genomic	267312	92.27	0.92
GCA_041398885.1_ASM4139888v1_genomic.fna	GCA_041398885.1	Planctomycetaceae bacterium (planctomycetes)	90	5007804	Bacteria	GCA_041398885.1_ASM4139888v1_genomic	138320	76.14	0.73
GCA_041398905.1_ASM4139890v1_genomic.fna	GCA_041398905.1	Planctomycetaceae bacterium (planctomycetes)	33	5268287	Bacteria	GCA_041398905.1_ASM4139890v1_genomic	307431	93.44	0.9
GCA_041398925.1_ASM4139892v1_genomic.fna	GCA_041398925.1	Pirellulaceae bacterium (planctomycetes)	116	5366678	Bacteria	GCA_041398925.1_ASM4139892v1_genomic	99836	77.65	1.18
GCA_041398945.1_ASM4139894v1_genomic.fna	GCA_041398945.1	Planctomycetaceae bacterium (planctomycetes)	177	6033288	Bacteria	GCA_041398945.1_ASM4139894v1_genomic	60290	80.71	1.73
GCA_041398965.1_ASM4139896v1_genomic.fna	GCA_041398965.1	Planctomycetaceae bacterium (planctomycetes)	80	5039572	Bacteria	GCA_041398965.1_ASM4139896v1_genomic	128940	83.11	0.35
GCA_041398985.1_ASM4139898v1_genomic.fna	GCA_041398985.1	Pirellulaceae bacterium (planctomycetes)	47	7489953	Bacteria	GCA_041398985.1_ASM4139898v1_genomic	397807	96.79	1.82
GCA_041399005.1_ASM4139900v1_genomic.fna	GCA_041399005.1	Pirellulaceae bacterium (planctomycetes)	168	7933134	Bacteria	GCA_041399005.1_ASM4139900v1_genomic	117537	72.18	2.5
GCA_041399025.1_ASM4139902v1_genomic.fna	GCA_041399025.1	Pirellulaceae bacterium (planctomycetes)	60	7747658	Bacteria	GCA_041399025.1_ASM4139902v1_genomic	262877	96.12	2.69
GCA_041399045.1_ASM4139904v1_genomic.fna	GCA_041399045.1	Pirellulaceae bacterium (planctomycetes)	28	5530324	Bacteria	GCA_041399045.1_ASM4139904v1_genomic	568297	91.96	1.08
GCA_041399065.1_ASM4139906v1_genomic.fna	GCA_041399065.1	Pirellulaceae bacterium (planctomycetes)	22	9804014	Bacteria	GCA_041399065.1_ASM4139906v1_genomic	1041996	95.59	4.0
GCA_041399085.1_ASM4139908v1_genomic.fna	GCA_041399085.1	Pirellulaceae bacterium (planctomycetes)	203	6935706	Bacteria	GCA_041399085.1_ASM4139908v1_genomic	79324	85.48	0.84
GCA_041399105.1_ASM4139910v1_genomic.fna	GCA_041399105.1	Pirellulaceae bacterium (planctomycetes)	144	7672353	Bacteria	GCA_041399105.1_ASM4139910v1_genomic	109600	85.7	2.68
GCA_041399125.1_ASM4139912v1_genomic.fna	GCA_041399125.1	Pirellulales bacterium (planctomycetes)	20	6480992	Bacteria	GCA_041399125.1_ASM4139912v1_genomic	807431	87.49	1.75
GCA_041399145.1_ASM4139914v1_genomic.fna	GCA_041399145.1	Phycisphaerae bacterium (planctomycetes)	51	4677013	Bacteria	GCA_041399145.1_ASM4139914v1_genomic	197046	67.77	0.32
GCA_041399155.1_ASM4139915v1_genomic.fna	GCA_041399155.1	Zavarzinella sp. (planctomycetes)	9	5998176	Bacteria	GCA_041399155.1_ASM4139915v1_genomic	1003489	97.64	2.0
GCA_041399205.1_ASM4139920v1_genomic.fna	GCA_041399205.1	Pirellulaceae bacterium (planctomycetes)	86	8026707	Bacteria	GCA_041399205.1_ASM4139920v1_genomic	264757	88.68	0.79
GCA_041401905.1_ASM4140190v1_genomic.fna	GCA_041401905.1	Phycisphaerales bacterium (planctomycetes)	48	3098120	Bacteria	GCA_041401905.1_ASM4140190v1_genomic	118015	85.43	0.21
GCA_041401925.1_ASM4140192v1_genomic.fna	GCA_041401925.1	Phycisphaerales bacterium (planctomycetes)	97	3178385	Bacteria	GCA_041401925.1_ASM4140192v1_genomic	85008	72.07	5.67
GCA_041401945.1_ASM4140194v1_genomic.fna	GCA_041401945.1	Phycisphaerales bacterium (planctomycetes)	4	3502780	Bacteria	GCA_041401945.1_ASM4140194v1_genomic	2207697	95.11	0.64
GCA_041401965.1_ASM4140196v1_genomic.fna	GCA_041401965.1	Phycisphaerales bacterium (planctomycetes)	68	2381957	Bacteria	GCA_041401965.1_ASM4140196v1_genomic	51341	50.73	0.42
GCA_041401985.1_ASM4140198v1_genomic.fna	GCA_041401985.1	Phycisphaerales bacterium (planctomycetes)	42	4056103	Bacteria	GCA_041401985.1_ASM4140198v1_genomic	188306	90.98	1.31
GCA_041402005.1_ASM4140200v1_genomic.fna	GCA_041402005.1	Phycisphaerales bacterium (planctomycetes)	14	3506848	Bacteria	GCA_041402005.1_ASM4140200v1_genomic	458326	89.29	0.44
GCA_041402025.1_ASM4140202v1_genomic.fna	GCA_041402025.1	Phycisphaerales bacterium (planctomycetes)	139	4772116	Bacteria	GCA_041402025.1_ASM4140202v1_genomic	60815	87.07	1.87
GCA_041402045.1_ASM4140204v1_genomic.fna	GCA_041402045.1	Planctomycetota bacterium (planctomycetes)	158	7916527	Bacteria	GCA_041402045.1_ASM4140204v1_genomic	85321	85.11	3.88
GCA_041402065.1_ASM4140206v1_genomic.fna	GCA_041402065.1	Candidatus Brocadiaceae bacterium (planctomycetes)	15	3913822	Bacteria	GCA_041402065.1_ASM4140206v1_genomic	625588	100.0	2.7
GCA_041402085.1_ASM4140208v1_genomic.fna	GCA_041402085.1	Candidatus Scalinduaceae bacterium (planctomycetes)	2	4255847	Bacteria	GCA_041402085.1_ASM4140208v1_genomic	4149782	98.29	3.0
GCA_041402105.1_ASM4140210v1_genomic.fna	GCA_041402105.1	Candidatus Scalinduaceae bacterium (planctomycetes)	26	4063349	Bacteria	GCA_041402105.1_ASM4140210v1_genomic	301439	91.31	2.62
GCA_041402125.1_ASM4140212v1_genomic.fna	GCA_041402125.1	Planctomycetota bacterium (planctomycetes)	44	4963269	Bacteria	GCA_041402125.1_ASM4140212v1_genomic	264419	82.53	2.72
GCA_041402145.1_ASM4140214v1_genomic.fna	GCA_041402145.1	Patescibacteria group bacterium (bacteria)	6	929910	Bacteria	GCA_041402145.1_ASM4140214v1_genomic	261458	93.27	0.3
GCA_041402165.1_ASM4140216v1_genomic.fna	GCA_041402165.1	Minisyncoccota bacterium (bacteria)	1	643671	Bacteria	GCA_041402165.1_ASM4140216v1_genomic	643671	99.69	0.52
GCA_041402185.1_ASM4140218v1_genomic.fna	GCA_041402185.1	Saccharimonadales bacterium (SeqCode) (bacteria)	5	876510	Bacteria	GCA_041402185.1_ASM4140218v1_genomic	617648	95.21	2.03
